Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,,
2023-11-01 00:00:00+00:00,42.31220245361328,42.32500076293945,42.38100051879883,40.86899948120117,40.88399887084961,437593000
2023-11-02 00:00:00+00:00,43.49284362792969,43.50600051879883,43.88399887084961,42.89400100708008,43.327999114990234,409172000
2023-11-03 00:00:00+00:00,44.991390228271484,45.005001068115234,45.308998107910156,43.722999572753906,44.02000045776367,424610000
2023-11-06 00:00:00+00:00,45.737159729003906,45.750999450683594,45.935001373291016,44.89899826049805,45.28499984741211,400733000
2023-11-07 00:00:00+00:00,45.941104888916016,45.95500183105469,46.21799850463867,45.15800094604492,45.71900177001953,343165000
2023-11-08 00:00:00+00:00,46.559913635253906,46.57400131225586,46.867000579833984,45.96799850463867,46.099998474121094,346719000
2023-11-09 00:00:00+00:00,46.93579864501953,46.95000076293945,48.22999954223633,46.75,47.46699905395508,540496000
2023-11-10 00:00:00+00:00,48.320377349853516,48.334999084472656,48.47200012207031,47.28300094604492,47.5,421245000
2023-11-13 00:00:00+00:00,48.60529327392578,48.619998931884766,49.11600112915039,48.0989990234375,48.31999969482422,384136000
2023-11-14 00:00:00+00:00,49.6409797668457,49.65599822998047,49.83399963378906,49.040000915527344,49.68000030517578,416954000
2023-11-15 00:00:00+00:00,48.87321472167969,48.88800048828125,49.959999084472656,48.20000076293945,49.935001373291016,475497000
2023-11-16 00:00:00+00:00,49.46503829956055,49.47999954223633,49.525001525878906,48.33000183105469,48.67900085449219,339756000
2023-11-17 00:00:00+00:00,49.2830924987793,49.29800033569336,49.71699905395508,49.00699996948242,49.52399826049805,325205000
2023-11-20 00:00:00+00:00,50.39375305175781,50.409000396728516,50.54800033569336,49.180999755859375,49.3120002746582,414120000
2023-11-21 00:00:00+00:00,49.92889404296875,49.944000244140625,50.516998291015625,49.22200012207031,50.125999450683594,565747000
2023-11-22 00:00:00+00:00,48.701263427734375,48.715999603271484,50.334999084472656,47.689998626708984,49.85200119018555,899420000
2023-11-24 00:00:00+00:00,47.76155090332031,47.7760009765625,48.92100143432617,47.744998931884766,48.470001220703125,294645000
2023-11-27 00:00:00+00:00,48.2274055480957,48.242000579833984,48.529998779296875,47.652000427246094,47.79999923706055,395662000
2023-11-28 00:00:00+00:00,47.80653381347656,47.82099914550781,48.323001861572266,47.472999572753906,48.236000061035156,401491000
2023-11-29 00:00:00+00:00,48.12543869018555,48.13999938964844,48.762001037597656,47.86000061035156,48.37900161743164,382005000
2023-11-30 00:00:00+00:00,46.75585174560547,46.77000045776367,48.11000061035156,46.422000885009766,48.02399826049805,526247000
2023-12-01 00:00:00+00:00,46.7508544921875,46.76499938964844,47.20000076293945,46.1870002746582,46.525001525878906,369317000
2023-12-04 00:00:00+00:00,45.49623107910156,45.5099983215332,46.07699966430664,45.0099983215332,46.07699966430664,437543000
2023-12-05 00:00:00+00:00,46.556007385253906,46.566001892089844,46.599998474121094,45.270999908447266,45.465999603271484,371718000
2023-12-06 00:00:00+00:00,45.49323654174805,45.50299835205078,47.387001037597656,45.4119987487793,47.21500015258789,380590000
2023-12-07 00:00:00+00:00,46.586002349853516,46.59600067138672,46.62900161743164,45.604000091552734,45.70000076293945,350823000
2023-12-08 00:00:00+00:00,47.49580764770508,47.50600051879883,47.74100112915039,46.54999923706055,46.595001220703125,359224000
2023-12-11 00:00:00+00:00,46.61699676513672,46.62699890136719,47.53099822998047,45.83000183105469,47.49100112915039,509728000
